RestaurantID,restaurantnameCustom,CountryName,City,Cuisine ,Dateopening,Yearopening,Monthopening,Quarteropening, Monthnames,WeekdayNo,Weekdayname,FinancialMonth,FinancialQuarter,Average_Cost_for_two_in_Dollar,Rating,Has_Table_booking,Has_Online_delivery,Bucket_range,code_for_ range
18312463,Chhotu Restaurant,India,New Delhi,North Indian,2012-06-13,2012,6,2,June,3,Wednesday,3,1,4.2,1,No,No,lessthan 5,1
18306540,Shree Jagannath Restaurant,India,New Delhi,North Indian,2017-06-28,2017,6,2,June,3,Wednesday,3,1,4.2,1,No,No,lessthan 5,1
18355145,Janta Canteen,India,New Delhi,North Indian,2010-06-15,2010,6,2,June,2,Tuesday,3,1,1.8,1,No,No,lessthan 5,1
18357948,Sansar Hotel,India,New Delhi,North Indian,2015-06-04,2015,6,2,June,4,Thursday,3,1,3.6,1,No,No,lessthan 5,1
18455547,Jiya Amritsari Naan,India,New Delhi,North Indian,2015-06-02,2015,6,2,June,2,Tuesday,3,1,2.4,1,No,No,lessthan 5,1
305567,Sushil Punjabi Vaishno Dhaba,India,New Delhi,North Indian,2018-06-12,2018,6,2,June,2,Tuesday,3,1,1.8,1,No,No,lessthan 5,1
18445361,Veg Food Express,India,New Delhi,North Indian,2014-06-27,2014,6,2,June,5,Friday,3,1,4.8,1,No,No,lessthan 5,1
18472628,Insane Foods,India,New Delhi,North Indian,2016-05-22,2016,5,2,May,7,Sunday,2,1,4.2,1,No,No,lessthan 5,1
18454468,Lahori Food,India,New Delhi,North Indian,2011-05-22,2011,5,2,May,7,Sunday,2,1,4.8,1,No,No,lessthan 5,1
18416845,AlKarim,India,New Delhi,North Indian,2012-05-27,2012,5,2,May,7,Sunday,2,1,4.2,1,No,No,lessthan 5,1
18414467,Chatori Zubaan Chur Chur Naan,India,New Delhi,North Indian,2011-05-07,2011,5,2,May,6,Saturday,2,1,1.2,1,No,No,lessthan 5,1
18460302,Khalsa Eating Point,India,New Delhi,North Indian,2018-05-03,2018,5,2,May,4,Thursday,2,1,3.6,1,No,No,lessthan 5,1
18396955,The Taste of Tandoor,India,New Delhi,North Indian,2010-05-16,2010,5,2,May,7,Sunday,2,1,3.6,1,No,No,lessthan 5,1
18470757,Rasoi  The Indian Zaika,India,New Delhi,North Indian,2018-05-22,2018,5,2,May,2,Tuesday,2,1,4.2,1,No,No,lessthan 5,1
18355143,Shree Balaji Bhojnalaya,India,New Delhi,North Indian,2015-05-28,2015,5,2,May,4,Thursday,2,1,1.2,1,No,No,lessthan 5,1
18489535,Night Diner,India,New Delhi,North Indian,2014-05-10,2014,5,2,May,6,Saturday,2,1,4.8,1,No,No,lessthan 5,1
18424638,Anupam Eating Point,India,New Delhi,North Indian,2018-05-12,2018,5,2,May,6,Saturday,2,1,1.8,1,No,No,lessthan 5,1
18424656,Rudra The Dhaba,India,New Delhi,North Indian,2011-05-02,2011,5,2,May,1,Monday,2,1,2.4,1,No,No,lessthan 5,1
18396171,Baba Chicken Ludhiana Wale,India,New Delhi,North Indian,2011-04-11,2011,4,2,April,1,Monday,1,1,4.8,1,No,No,lessthan 5,1
18352684,Front Food Corner,India,New Delhi,North Indian,2012-04-28,2012,4,2,April,6,Saturday,1,1,0.6,1,No,No,lessthan 5,1
18441696,Jain Restaurant,India,New Delhi,North Indian,2011-04-23,2011,4,2,April,6,Saturday,1,1,6,1,Yes,No,5 to 10,2
312000,Pandit Dhaba,India,New Delhi,North Indian,2014-04-25,2014,4,2,April,5,Friday,1,1,3.6,1,No,No,lessthan 5,1
18377904,Break Fast Junction,India,New Delhi,North Indian,2016-04-25,2016,4,2,April,1,Monday,1,1,2.4,1,No,No,lessthan 5,1
18264993,Food En Vouge,India,New Delhi,North Indian,2013-04-19,2013,4,2,April,5,Friday,1,1,4.8,1,No,Yes,lessthan 5,1
18358663,Dhaba Cash n Carry Kitchen Chur Chur Naan,India,New Delhi,North Indian,2018-04-04,2018,4,2,April,3,Wednesday,1,1,1.8,1,No,No,lessthan 5,1
18489836,New Gaurav Dhaba,India,New Delhi,North Indian,2011-04-27,2011,4,2,April,3,Wednesday,1,1,3,1,No,No,lessthan 5,1
18466408,Desi Dhaba,India,New Delhi,North Indian,2014-04-16,2014,4,2,April,3,Wednesday,1,1,4.8,1,No,No,lessthan 5,1
18449657,Panj Tara,India,New Delhi,North Indian,2013-04-06,2013,4,2,April,6,Saturday,1,1,6,1,No,No,5 to 10,2
18449661,Taste Zone,India,New Delhi,North Indian,2011-04-18,2011,4,2,April,1,Monday,1,1,1.2,1,No,No,lessthan 5,1
18354998,Kirti Food Plaza,India,New Delhi,North Indian,2016-04-01,2016,4,2,April,5,Friday,1,1,1.2,1,No,No,lessthan 5,1
18423905,Nishaj Chicken Corner,India,New Delhi,North Indian,2014-04-10,2014,4,2,April,4,Thursday,1,1,2.4,1,No,No,lessthan 5,1
18432200,Hotel Delhi 43,India,New Delhi,North Indian,2013-04-20,2013,4,2,April,6,Saturday,1,1,8.4,1,Yes,No,5 to 10,2
306710,Shiv Shakti Dhaba,India,New Delhi,North Indian,2011-04-04,2011,4,2,April,1,Monday,1,1,1.2,1,No,No,lessthan 5,1
18478963,Ralhan Eating Corner,India,New Delhi,North Indian,2018-04-13,2018,4,2,April,5,Friday,1,1,2.4,1,No,No,lessthan 5,1
17989108,Dinesh Ka Mithila Dhaba,India,New Delhi,North Indian,2011-04-07,2011,4,2,April,4,Thursday,1,1,1.8,1,No,No,lessthan 5,1
6249,Rama Fast Food,India,New Delhi,North Indian,2016-04-21,2016,4,2,April,4,Thursday,1,1,1.8,1,No,No,lessthan 5,1
18273597,Royal Chicken Corner,India,New Delhi,North Indian,2015-04-04,2015,4,2,April,6,Saturday,1,1,5.4,1,No,No,5 to 10,2
18455549,Desi Kukkad,India,New Delhi,North Indian,2011-04-22,2011,4,2,April,5,Friday,1,1,3.6,1,No,No,lessthan 5,1
18423889,Annapoorna Bhojanalya,India,New Delhi,North Indian,2017-04-11,2017,4,2,April,2,Tuesday,1,1,1.2,1,No,No,lessthan 5,1
18424650,Night Munchers,India,New Delhi,North Indian,2011-04-17,2011,4,2,April,7,Sunday,1,1,6,1,No,No,5 to 10,2
18489513,Tandoori Kebab,India,New Delhi,North Indian,2018-03-22,2018,3,1,March,4,Thursday,12,4,4.8,1,No,No,lessthan 5,1
18378037,Prem Rasoi,India,New Delhi,North Indian,2013-03-13,2013,3,1,March,3,Wednesday,12,4,4.8,1,No,No,lessthan 5,1
18124389,Mahesh Shudh Vaishno Bhojanalya,India,New Delhi,North Indian,2017-03-23,2017,3,1,March,4,Thursday,12,4,1.2,1,No,No,lessthan 5,1
18451575,Majlis Foods,India,New Delhi,North Indian,2014-03-03,2014,3,1,March,1,Monday,12,4,4.8,1,No,No,lessthan 5,1
18292453,Shri Bala Ji Rasoi,India,New Delhi,North Indian,2010-03-24,2010,3,1,March,3,Wednesday,12,4,2.4,1,No,No,lessthan 5,1
308110,Moji Dhaba,India,New Delhi,North Indian,2014-03-24,2014,3,1,March,1,Monday,12,4,4.8,1,No,No,lessthan 5,1
18466675,Gungun Tiffin Services,India,New Delhi,North Indian,2013-03-25,2013,3,1,March,1,Monday,12,4,2.4,1,No,No,lessthan 5,1
18361217,Radhe Shyam Dhaba,India,New Delhi,North Indian,2012-03-11,2012,3,1,March,7,Sunday,12,4,3,1,No,No,lessthan 5,1
9271,Raju De Special Paneer Wale,India,New Delhi,North Indian,2010-03-04,2010,3,1,March,4,Thursday,12,4,0.6,1,No,No,lessthan 5,1
18360900,Gupta Bhojnalya,India,New Delhi,North Indian,2014-03-04,2014,3,1,March,2,Tuesday,12,4,3.6,1,No,No,lessthan 5,1
18492960,Mouthmatics,India,New Delhi,North Indian,2018-03-28,2018,3,1,March,3,Wednesday,12,4,2.4,1,No,No,lessthan 5,1
18390309,Kakas Tiffin Service,India,New Delhi,North Indian,2017-03-08,2017,3,1,March,3,Wednesday,12,4,1.8,1,No,No,lessthan 5,1
18377898,Anjali Resaturant,India,New Delhi,North Indian,2014-03-14,2014,3,1,March,5,Friday,12,4,2.4,1,No,No,lessthan 5,1
18375413,Rama Desi Ghee Meat Wala,India,New Delhi,North Indian,2016-02-24,2016,2,1,February,3,Wednesday,11,4,7.8,1,No,No,5 to 10,2
302871,Punjabi Chicken,India,New Delhi,North Indian,2010-02-16,2010,2,1,February,2,Tuesday,11,4,4.8,1,No,No,lessthan 5,1
6678,Kaushal Dhaba,India,New Delhi,North Indian,2010-02-11,2010,2,1,February,4,Thursday,11,4,1.8,1,No,No,lessthan 5,1
18292472,Rajdhani Restaurant,India,New Delhi,North Indian,2013-02-15,2013,2,1,February,5,Friday,11,4,4.8,1,No,No,lessthan 5,1
18362795,Uncle Sam,India,New Delhi,North Indian,2010-02-11,2010,2,1,February,4,Thursday,11,4,2.4,1,No,No,lessthan 5,1
18455553,Bawejas Haandi,India,New Delhi,North Indian,2017-02-05,2017,2,1,February,7,Sunday,11,4,7.2,1,No,No,5 to 10,2
18418234,Singhs,India,New Delhi,North Indian,2013-02-07,2013,2,1,February,4,Thursday,11,4,3.6,1,No,No,lessthan 5,1
18312623,Viceroy Bar  Hotel Classic Diplomat,India,New Delhi,North Indian,2013-02-07,2013,2,1,February,4,Thursday,11,4,9.6,1,Yes,No,5 to 10,2
18414503,Sunny Restaurant  Tiffin,India,New Delhi,North Indian,2018-02-10,2018,2,1,February,6,Saturday,11,4,4.8,1,No,No,lessthan 5,1
18376513,Khalsa Dhaba,India,New Delhi,North Indian,2010-02-23,2010,2,1,February,2,Tuesday,11,4,4.2,1,No,No,lessthan 5,1
18361765,Dhaba Express,India,New Delhi,North Indian,2017-02-07,2017,2,1,February,2,Tuesday,11,4,2.4,1,No,No,lessthan 5,1
18241864,Om Shanti Foods,India,New Delhi,North Indian,2012-02-24,2012,2,1,February,5,Friday,11,4,1.2,1,No,No,lessthan 5,1
18228878,Aggarwal Sweets,India,New Delhi,North Indian,2016-02-16,2016,2,1,February,2,Tuesday,11,4,3.6,1,No,No,lessthan 5,1
18355463,Negi Restaurant,India,New Delhi,North Indian,2012-01-19,2012,1,1,January,4,Thursday,10,4,1.8,1,No,No,lessthan 5,1
18356776,Ghar Ka Khana,India,New Delhi,North Indian,2018-01-24,2018,1,1,January,3,Wednesday,10,4,1.2,1,No,No,lessthan 5,1
18349764,Bansal Foods,India,New Delhi,North Indian,2017-01-11,2017,1,1,January,3,Wednesday,10,4,7.2,1,No,No,5 to 10,2
18415370,Mr Billiken,India,New Delhi,North Indian,2014-01-24,2014,1,1,January,5,Friday,10,4,7.2,1,No,No,5 to 10,2
18485962,Bawarchis Canteen,India,New Delhi,North Indian,2010-01-14,2010,1,1,January,4,Thursday,10,4,1.2,1,No,No,lessthan 5,1
18378051,Spicy Curry,India,New Delhi,North Indian,2011-01-16,2011,1,1,January,7,Sunday,10,4,4.2,1,No,No,lessthan 5,1
18441669,Food State,India,New Delhi,North Indian,2018-01-28,2018,1,1,January,7,Sunday,10,4,3.6,1,No,No,lessthan 5,1
18489530,Pakeeza Chicken Corner,India,New Delhi,North Indian,2018-01-01,2018,1,1,January,1,Monday,10,4,2.4,1,No,No,lessthan 5,1
18390082,Auntys Kitchen,India,New Delhi,North Indian,2016-01-02,2016,1,1,January,6,Saturday,10,4,1.2,1,No,No,lessthan 5,1
18449652,Delhi 6 Foods,India,New Delhi,North Indian,2018-01-18,2018,1,1,January,4,Thursday,10,4,3.6,1,No,No,lessthan 5,1
18288623,Fry Centre,India,New Delhi,North Indian,2013-01-04,2013,1,1,January,5,Friday,10,4,2.4,1,No,No,lessthan 5,1
18435822,Mahavrer Chap Express,India,New Delhi,North Indian,2011-01-13,2011,1,1,January,4,Thursday,10,4,3.6,1,No,No,lessthan 5,1
18435787,Kailash Vaishno Dhaba,India,New Delhi,North Indian,2016-01-28,2016,1,1,January,4,Thursday,10,4,2.4,1,No,No,lessthan 5,1
18425757,Desi Tadka,India,New Delhi,North Indian,2016-01-19,2016,1,1,January,2,Tuesday,10,4,2.4,1,No,No,lessthan 5,1
18425738,Sher E Punjab,India,New Delhi,North Indian,2012-01-10,2012,1,1,January,2,Tuesday,10,4,4.2,1,No,No,lessthan 5,1
18423101,Kebabish,India,New Delhi,North Indian,2012-01-04,2012,1,1,January,3,Wednesday,10,4,6.6,1,No,No,5 to 10,2
18429161,Gian Ji Punjabi Dhaba,India,New Delhi,North Indian,2016-01-14,2016,1,1,January,4,Thursday,10,4,1.8,1,No,No,lessthan 5,1
18403469,Aapka Mangal Restaurant,India,New Delhi,North Indian,2010-01-04,2010,1,1,January,1,Monday,10,4,6,1,No,No,5 to 10,2
18489534,Sunita Dhaba,India,New Delhi,North Indian,2013-01-09,2013,1,1,January,3,Wednesday,10,4,3,1,No,No,lessthan 5,1
18489832,Lotus Kitchen,India,New Delhi,North Indian,2011-01-15,2011,1,1,January,6,Saturday,10,4,1.2,1,No,No,lessthan 5,1
18471235,Aditya Da Vaishno Dhaba,India,New Delhi,North Indian,2013-01-23,2013,1,1,January,3,Wednesday,10,4,3,1,No,No,lessthan 5,1
18469981,Dana Pani,India,New Delhi,North Indian,2018-01-16,2018,1,1,January,2,Tuesday,10,4,3,1,No,No,lessthan 5,1
312848,Punjabi Tadka,India,New Delhi,North Indian,2018-01-16,2018,1,1,January,2,Tuesday,10,4,3,1,No,No,lessthan 5,1
18439705,The Hubbub Cafe and Restaurant,India,New Delhi,North Indian,2012-01-15,2012,1,1,January,7,Sunday,10,4,6,1,No,No,5 to 10,2
18418243,Uttarakhand Eating Point,India,New Delhi,North Indian,2018-01-16,2018,1,1,January,2,Tuesday,10,4,2.4,1,No,No,lessthan 5,1
18429577,Mamma Drools,India,New Delhi,North Indian,2015-01-15,2015,1,1,January,4,Thursday,10,4,2.4,1,No,No,lessthan 5,1
18421462,Prem Ji Delhi Wale,India,New Delhi,North Indian,2010-01-23,2010,1,1,January,6,Saturday,10,4,3,1,No,No,lessthan 5,1
18464633,Aap Ki Khatir,India,New Delhi,North Indian,2012-01-20,2012,1,1,January,5,Friday,10,4,4.8,1,No,No,lessthan 5,1
18423145,Rai Ji Caterers,India,New Delhi,North Indian,2012-01-10,2012,1,1,January,2,Tuesday,10,4,4.8,1,No,No,lessthan 5,1
18358661,Kaka De Dhaba,India,New Delhi,North Indian,2016-01-01,2016,1,1,January,5,Friday,10,4,4.2,1,No,No,lessthan 5,1
18342574,Apni Rasoi,India,New Delhi,North Indian,2015-01-13,2015,1,1,January,2,Tuesday,10,4,6,1,No,No,5 to 10,2
18449664,Raja Rasoi,India,New Delhi,North Indian,2015-01-05,2015,1,1,January,1,Monday,10,4,2.4,1,No,No,lessthan 5,1
306177,Gulati Ki Rasoi,India,New Delhi,North Indian,2011-01-23,2011,1,1,January,7,Sunday,10,4,2.4,1,No,No,lessthan 5,1
18424661,Bikaner Rasoi,India,New Delhi,North Indian,2010-01-25,2010,1,1,January,1,Monday,10,4,3,1,No,No,lessthan 5,1
18423118,Old Moradabadi Chicken Corner,India,New Delhi,North Indian,2012-01-13,2012,1,1,January,5,Friday,10,4,4.8,1,No,No,lessthan 5,1
18457050,Puran Dhaba,India,New Delhi,North Indian,2014-01-13,2014,1,1,January,1,Monday,10,4,2.4,1,No,No,lessthan 5,1
18420653,Tawa King,India,New Delhi,North Indian,2014-01-28,2014,1,1,January,2,Tuesday,10,4,4.2,1,No,No,lessthan 5,1
18361755,Shudh Vaishno Dhaba,India,New Delhi,North Indian,2018-01-25,2018,1,1,January,4,Thursday,10,4,2.4,1,No,No,lessthan 5,1
18481278,Mirch Masala Restaurant,India,New Delhi,North Indian,2014-01-27,2014,1,1,January,1,Monday,10,4,4.8,1,No,No,lessthan 5,1
18425740,Food Corner,India,New Delhi,North Indian,2018-01-06,2018,1,1,January,6,Saturday,10,4,1.2,1,No,No,lessthan 5,1
18357541,Mukesh Bhojnalaya,India,New Delhi,North Indian,2016-01-11,2016,1,1,January,1,Monday,10,4,3.6,1,No,No,lessthan 5,1
312970,New Royal Blue Dhaba,India,New Delhi,North Indian,2016-01-07,2016,1,1,January,4,Thursday,10,4,3.6,1,No,No,lessthan 5,1
18449653,Food Campus,India,New Delhi,North Indian,2015-01-12,2015,1,1,January,1,Monday,10,4,1.2,1,No,No,lessthan 5,1
18357954,Punjabi Delight,India,New Delhi,North Indian,2012-01-01,2012,1,1,January,7,Sunday,10,4,3.6,1,No,No,lessthan 5,1
305699,Dilkhush Dhaba,India,New Delhi,North Indian,2013-01-13,2013,1,1,January,7,Sunday,10,4,1.2,1,No,No,lessthan 5,1
304831,Khana Khazana,India,New Delhi,North Indian,2018-01-03,2018,1,1,January,3,Wednesday,10,4,2.4,1,No,No,lessthan 5,1
304782,Ramesh Caterers  Dhaba,India,New Delhi,North Indian,2017-01-27,2017,1,1,January,5,Friday,10,4,1.8,1,No,No,lessthan 5,1
18368003,Foji Bhai Hotel,India,New Delhi,North Indian,2014-01-15,2014,1,1,January,3,Wednesday,10,4,1.2,1,No,No,lessthan 5,1
18244429,Raj Shri,India,New Delhi,North Indian,2015-01-25,2015,1,1,January,7,Sunday,10,4,2.4,1,No,No,lessthan 5,1
18357819,Nutri Lunch,India,New Delhi,North Indian,2018-01-15,2018,1,1,January,1,Monday,10,4,2.4,1,No,No,lessthan 5,1
18430907,Ranas Food Corner,India,New Delhi,North Indian,2013-01-10,2013,1,1,January,4,Thursday,10,4,2.4,1,No,No,lessthan 5,1
18424640,Soni Food Court,India,New Delhi,North Indian,2015-01-14,2015,1,1,January,3,Wednesday,10,4,1.8,1,No,No,lessthan 5,1
18421058,V K Pasta,India,New Delhi,Italian Fast Food,2018-09-01,2018,9,3,September,6,Saturday,6,2,7.2,1,No,No,5 to 10,2
18397709,Iqbals Mughal Cuisine,India,New Delhi,North Indian Mughlai,2013-09-10,2013,9,3,September,2,Tuesday,6,2,6,1,No,No,5 to 10,2
18472618,Adda The Spice Affair,India,New Delhi,North Indian Chinese,2012-09-18,2012,9,3,September,2,Tuesday,6,2,6,1,No,No,5 to 10,2
18418229,Shi Cafe,India,New Delhi,Cafe Mexican Continental,2018-09-19,2018,9,3,September,3,Wednesday,6,2,12,1,No,No,10 to 15,3
18445784,Nirvana The Divine Kitchen,India,New Delhi,North Indian Chinese,2010-09-18,2010,9,3,September,6,Saturday,6,2,8.4,1,No,No,5 to 10,2
18435820,Chicago Pizza,India,New Delhi,Pizza,2010-09-22,2010,9,3,September,3,Wednesday,6,2,7.2,1,No,No,5 to 10,2
18441688,Madras Dosa  Chinese,India,New Delhi,South Indian Chinese,2018-09-24,2018,9,3,September,1,Monday,6,2,6,1,No,No,5 to 10,2
18337885,Tpot,India,New Delhi,Cafe,2012-08-06,2012,8,3,August,1,Monday,5,2,9.6,1,No,No,5 to 10,2
18462588,Avon Kitchen,India,New Delhi,North Indian Mughlai Chinese,2018-08-21,2018,8,3,August,2,Tuesday,5,2,8.4,1,No,No,5 to 10,2
18424635,Somang House Restaurant,India,New Delhi,Asian Chinese,2015-08-05,2015,8,3,August,3,Wednesday,5,2,6,1,No,No,5 to 10,2
18467388,Manami Japanese Restaurant,India,New Delhi,Japanese,2016-08-07,2016,8,3,August,7,Sunday,5,2,12,1,Yes,No,10 to 15,3
